time,t2m_c,tp_mm,sp,wind_speed
2023-04-20 00:00:00,6.0289,0.0,82008.05,2.29221
2023-04-20 06:00:00,-2.735077,0.0,82223.734,1.5866736
2023-04-20 12:00:00,-5.410034,0.0,82219.83,2.0170686
2023-04-20 18:00:00,8.790802,0.0,82464.41,1.6977351
