gauge,lead_h,model,n_params,nwm_nse,nwm_rmse,nwm_mae,nwm_pbias,nwm_kge,nwm_r,nwm_alpha,nwm_beta,dl_nse,dl_rmse,dl_mae,dl_pbias,dl_kge,dl_r,dl_alpha,dl_beta,delta_nse,delta_kge,delta_rmse
20380357,1,lstm,59265,-2351.218290053584,8.435114639948315,5.251644978547652,2116.4955626645256,-41.62034510014757,0.04128277032399003,37.98133760495058,22.164955626645256,-180.1894879103839,2.341093056410768,0.880263455956249,-228.08681550439792,-11.355902725037689,0.08573083815829075,13.109090986098227,-1.2808681550439793,2171.0288021432,30.26444237510988,-6.094021583537547
20380357,1,gru,45505,-2351.218290053584,8.435114639948315,5.251644978547652,2116.4955626645256,-41.62034510014757,0.04128277032399003,37.98133760495058,22.164955626645256,-150.45367488623398,2.1403859222306467,0.5453382110062395,-55.16829728004556,-10.347026798077485,0.05319752827711707,12.293990797470576,0.4483170271995444,2200.7646151673503,31.27331830207008,-6.2947287177176685
20380357,1,transformer,72449,-2351.218290053584,8.435114639948315,5.251644978547652,2116.4955626645256,-41.62034510014757,0.04128277032399003,37.98133760495058,22.164955626645256,-233.08414203655377,2.6609589500747184,0.8036881028685146,-87.60528187616333,-13.302458591114428,0.026500660538423676,15.242371721218014,0.12394718123836665,2118.1341480170304,28.317886509033137,-5.774155689873597
20380357,6,lstm,59265,-148608.7251523523,67.06395151515716,51.28546457857718,20658.314587048146,-321.3178947055201,0.011880517851562758,248.40907968290713,207.58314587048145,-1743.1494408340711,7.26536387574038,3.0231588896135486,191.2707229333468,-39.738091076778225,0.019623748922212265,41.6813529524407,2.912707229333468,146865.57571151824,281.57980362874184,-59.79858763941678
20380357,6,gru,45505,-148608.7251523523,67.06395151515716,51.28546457857718,20658.314587048146,-321.3178947055201,0.011880517851562758,248.40907968290713,207.58314587048145,-2752.2952692541903,9.128342317161318,3.7912863634343013,-171.27212535166032,-50.45964113231636,0.016363039384879405,52.42172410279774,-0.7127212535166033,145856.4298830981,270.85825357320374,-57.93560919799584
20380357,6,transformer,72449,-148608.7251523523,67.06395151515716,51.28546457857718,20658.314587048146,-321.3178947055201,0.011880517851562758,248.40907968290713,207.58314587048145,-10613.69503125389,17.92335406961111,5.196086901083737,-151.70983293794058,-101.0063549709208,-0.009967225368516396,102.99007222919383,-0.5170983293794057,137995.03012109842,220.31153973459928,-49.14059744554605
20380357,12,lstm,59265,-296090.2851018751,94.67929277635335,75.34420471377902,30327.06874370237,-446.10937960954647,0.009938042922923837,329.53113589678185,304.2706874370237,-22914.748730586798,26.33960262003573,9.342059844835077,714.8276483333358,-149.24338678932284,0.038452008651150296,151.07015973438632,8.148276483333357,273175.5363712883,296.8659928202236,-68.33969015631762
20380357,12,gru,45505,-296090.2851018751,94.67929277635335,75.34420471377902,30327.06874370237,-446.10937960954647,0.009938042922923837,329.53113589678185,304.2706874370237,-17093.518338745307,22.749435624295234,8.710931170763471,281.0892862911043,-128.76139683474173,0.0468728899432807,130.72744712869607,3.8108928629110426,278996.7667631298,317.34798277480473,-71.92985715205812
20380357,12,transformer,72449,-296090.2851018751,94.67929277635335,75.34420471377902,30327.06874370237,-446.10937960954647,0.009938042922923837,329.53113589678185,304.2706874370237,-21812.75294169894,25.698477108929236,11.189248771086737,1275.4694735715861,-145.19991734041005,0.07523789976447333,146.639549599686,13.75469473571586,274277.53216017614,300.9094622691364,-68.98081566742411
20380357,18,lstm,59265,-309641.94425326574,96.83346955827298,77.1593231192299,31033.40082981128,-455.81759309302385,0.007763519545606155,336.2225113558116,311.3340082981128,-41345.20309000034,35.38447167785155,12.827043800578016,1811.4527222252282,-200.54694357834904,0.047686865679516355,201.72899010602006,19.11452722225228,268296.7411632654,255.2706495146748,-61.44899788042143
